id;start_date;end_date;language
1;2019-10-07T09:24:21;2019-10-07T02:32:38;FRENCH
2;2019-10-07T10:54:26;2019-10-06T20:00:36;SPANISH
3;2019-10-07T06:26:31;2019-10-06T21:50:31;FRENCH
4;2019-10-06T19:38:22;2019-10-07T03:05:24;FRENCH
5;2019-10-07T04:37:01;2019-10-07T09:21:10;SPANISH
6;2019-10-07T10:54:02;2019-10-07T12:10:58;FRENCH
7;2019-10-06T20:16:21;2019-10-07T08:57:08;SPANISH
8;2019-10-06T17:47:40;2019-10-07T01:47:49;SPANISH
9;2019-10-07T03:35:46;2019-10-07T12:00:25;SPANISH
10;2019-10-07T06:53:56;2019-10-07T04:10:11;FRENCH
